City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,berdigestyakh,62.0989,126.6992,13.41,92,100,2.25,RU,1689889189
83,sinabang,2.4803,96.3801,25.53,83,100,1.68,ID,1689889192
84,ribeira grande,38.5167,-28.7,22.22,88,40,3.58,PT,1689889012
85,punta arenas,-53.15,-70.9167,0.7,74,100,7.79,CL,1689889093
86,nishinoomote,30.7333,131.0,26.99,81,100,2.56,JP,1689889589
87,invercargill,-46.4,168.35,3.98,78,6,3.7,NZ,1689889129
88,kodiak,57.79,-152.4072,12.73,94,0,2.06,US,1689889130
89,jiexiu,37.0244,111.9125,22.72,74,95,1.15,CN,1689889591
90,port alfred,-33.5906,26.891,12.21,59,47,7.15,ZA,1689889163
91,tiznit,29.5833,-9.5,25.7,51,0,0.91,MA,1689889217
92,lae,-6.7221,146.9847,24.76,81,73,2.33,PG,1689889593
93,pacasmayo,-7.4006,-79.5714,22.65,75,5,7.36,PE,1689889594
94,kapa'a,22.0752,-159.319,30.18,69,40,7.72,US,1689889195
95,richards bay,-28.783,32.0377,14.15,78,100,3.75,ZA,1689889167
96,vilyuysk,63.7553,121.6247,17.8,71,7,2.82,RU,1689889595
97,alupka,44.4167,34.05,24.14,76,1,0.94,UA,1689889596
98,kikwit,-5.041,18.8162,25.78,35,37,0.82,CD,1689889597
99,fort st. john,56.2499,-120.8529,26.94,32,40,1.54,CA,1689889597
100,darwin,-12.4611,130.8418,20.5,83,38,2.24,AU,1689889200
101,najera,42.4244,-2.734,19.11,90,32,1.71,ES,1689889598
102,lihue,21.9789,-159.3672,29.77,68,40,7.72,US,1689889079
103,havre,49.5833,0.3333,15.22,77,0,4.63,FR,1689889599
104,avarua,-21.2078,-159.775,23.03,53,75,6.69,CK,1689888949
105,ancud,-41.8697,-73.8203,10.68,89,59,8.43,CL,1689889161
106,lata,40.1629,-8.3327,14.48,98,6,1.2,PT,1689889601
107,aswan,24.0934,32.907,36.61,15,0,2.57,EG,1689889601
108,qaqortoq,60.7167,-46.0333,7.78,98,100,1.21,GL,1689889083
109,lashkar gah,31.5938,64.3716,31.8,14,64,2.57,AF,1689889602
110,acapulco de juarez,16.8634,-99.8901,31.9,70,0,5.66,MX,1689889000
111,st. john's,47.5649,-52.7093,27.66,61,40,7.72,CA,1689889474
112,la ronge,55.1001,-105.2842,26.14,41,40,3.09,CA,1689889178
113,svetlyy,54.675,20.1347,12.03,76,15,5.73,RU,1689889604
114,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,4.12,EC,1689889189
115,west island,-12.1568,96.8225,24.99,73,40,5.66,CC,1689889129
116,enewetak,11.3474,162.3373,28.57,79,79,6.26,MH,1689889148
117,laguna,38.421,-121.4238,40.1,26,0,2.57,US,1689889168
118,sumenep,-7.0167,113.8667,23.85,77,1,2.64,ID,1689889607
119,pozega,45.3403,17.6853,19.97,76,36,1.88,HR,1689889607
120,tsiombe,-25.3,45.4833,18.9,82,22,4.46,MG,1689889053
121,taoudenni,22.6783,-3.9836,38.79,8,3,2.44,ML,1689889088
122,wailua homesteads,22.0669,-159.378,29.44,70,40,7.72,US,1689889129
123,port mathurin,-19.6833,63.4167,23.27,69,7,7.73,MU,1689888950
124,jamestown,42.097,-79.2353,26.77,65,75,2.57,US,1689888908
125,longyearbyen,78.2186,15.6401,10.91,71,20,9.26,SJ,1689889093
126,laojunmiao,39.8333,97.7333,19.9,31,25,2.49,CN,1689889612
127,cabo san lucas,22.8909,-109.9124,37.56,46,0,5.66,MX,1689889191
128,udachny,66.4167,112.4,16.8,56,81,0.31,RU,1689889076
129,belo sur tsiribihina,-19.7,44.55,19.44,81,0,1.86,MG,1689889614
130,thompson,55.7435,-97.8558,27.09,26,40,5.14,CA,1689889155
131,nagqu,31.5,92.0,0.24,75,0,1.27,CN,1689889614
132,lebu,-37.6167,-73.65,12.33,94,100,7.13,CL,1689889165
133,ust-nera,64.5667,143.2,25.99,38,71,2.58,RU,1689889094
134,sur,22.5667,59.5289,32.24,58,100,2.18,OM,1689889148
135,chui,-33.6971,-53.4616,13.5,89,100,3.68,UY,1689889616
136,holualoa,19.6228,-155.9522,28.82,86,100,5.66,US,1689889172
137,karratha,-20.7377,116.8463,17.82,45,2,6.22,AU,1689889160
138,kruisfontein,-34.0033,24.7314,6.05,69,2,3.42,ZA,1689889096
139,diamantino,-14.4086,-56.4461,27.33,33,2,1.38,BR,1689889618
140,williams lake,52.1415,-122.1445,35.59,24,75,6.69,CA,1689889619
141,egilsstadir,65.2653,-14.3948,4.95,93,100,4.12,IS,1689889619
142,gloucester,51.8657,-2.2431,15.42,89,74,2.08,GB,1689889353
143,westport,41.1415,-73.3579,29.6,59,0,3.6,US,1689889131
144,ambodifotatra,-16.9833,49.85,23.25,89,94,4.22,MG,1689889135
145,muroto-misakicho,33.2833,134.15,26.08,79,100,3.19,JP,1689889621
146,tazovsky,67.4667,78.7,16.74,74,67,4.25,RU,1689889089
147,kristiansund,63.1115,7.732,13.36,82,100,1.54,NO,1689889128
148,east london,-33.0153,27.9116,14.14,51,100,6.19,ZA,1689889183
149,sangin,32.0728,64.8359,31.84,17,46,2.83,AF,1689889624
150,rikaze,29.25,88.8833,14.66,47,31,1.6,CN,1689889184
151,vadso,70.0744,29.7487,9.49,93,75,8.23,NO,1689889128
152,iskateley,67.6803,53.1512,10.72,92,100,5.98,RU,1689889126
153,misratah,32.3754,15.0925,28.26,72,0,1.63,LY,1689889626
154,kailua-kona,19.6406,-155.9956,30.89,86,100,5.66,US,1689889108
155,badger,64.8,-147.5333,20.63,89,100,2.06,US,1689889131
156,argostolion,38.1811,20.489,26.86,56,0,1.56,GR,1689889628
157,gore,-46.1028,168.9436,3.52,80,6,3.22,NZ,1689889628
158,sitangkai,4.6628,119.3928,28.14,76,96,3.5,PH,1689889629
159,katsuren-haebaru,26.3369,127.8719,28.01,86,40,1.54,JP,1689889629
160,plessisville,46.2186,-71.762,23.15,70,62,1.58,CA,1689889630
161,polyarnyy,69.1989,33.4478,8.51,89,100,6.28,RU,1689889182
162,gifford,27.6753,-80.4092,32.25,79,40,4.63,US,1689889545
163,bilibino,68.0546,166.4372,18.27,56,71,1.38,RU,1689889127
164,princeville,45.7668,-61.2985,25.91,85,0,3.09,CA,1689889337
165,pisco,-13.7,-76.2167,21.03,73,0,5.14,PE,1689889633
166,wynyard,-41.0,145.7167,6.38,78,5,3.73,AU,1689889634
167,huarmey,-10.0681,-78.1522,22.05,71,10,4.36,PE,1689889143
168,notodden,59.5594,9.2585,13.62,78,98,2.15,NO,1689889636
169,florence,43.7667,11.25,26.97,73,0,3.09,IT,1689889541
170,bamboo flat,11.7,92.7167,26.05,94,100,1.03,IN,1689889149
171,amungan,15.3652,119.9582,26.86,79,52,1.49,PH,1689889638
172,dunedin,-45.8742,170.5036,7.67,56,19,5.36,NZ,1689888954
173,fada,9.5667,8.3,20.61,97,94,0.78,NG,1689889639
174,la'ie,21.6477,-157.9253,30.98,74,61,7.81,US,1689889639
175,ebon,4.582,168.6964,27.6,82,97,6.46,MH,1689889640
176,chapeco,-27.0964,-52.6183,17.86,94,0,5.14,BR,1689889640
177,brokopondo,4.75,-55.1667,29.11,66,97,1.03,SR,1689889641
178,carutapera,-1.195,-46.02,24.14,92,7,2.41,BR,1689889091
179,esbjerg,55.4667,8.45,13.84,88,75,2.57,DK,1689889642
180,bulayevo,54.9056,70.4439,17.75,75,87,3.13,KZ,1689889161
181,jayapura,-2.5333,140.7,23.66,89,100,1.61,ID,1689889216
182,stephenville,32.2207,-98.2023,40.64,18,0,3.09,US,1689889644
183,faya-largeau,17.9257,19.1043,33.74,37,14,4.93,TD,1689889644
184,chonchi,-42.6128,-73.8092,11.73,82,55,3.96,CL,1689888959
185,alva,56.1528,-3.8051,14.47,85,100,0.45,GB,1689889645
186,palmer,42.1584,-72.3287,30.31,42,20,4.12,US,1689889646
187,chibougamau,49.9168,-74.3659,19.79,73,100,2.36,CA,1689889012
188,nemuro,43.3236,145.575,14.99,91,1,3.44,JP,1689889173
189,fale old settlement,-9.3852,-171.2468,28.12,78,30,4.99,TK,1689889127
190,kilju,40.9642,129.3278,23.05,87,3,0.54,KP,1689889648
191,lisala,2.15,21.5167,22.96,76,8,0.39,CD,1689889648
192,island harbour,50.724,-1.2758,16.67,73,70,0.89,GB,1689889014
193,sainte-agathe-des-monts,46.0501,-74.2825,23.16,81,98,1.13,CA,1689889566
194,santana,-0.0583,-51.1817,27.1,83,75,7.72,BR,1689889178
195,keflavik,64.0049,-22.5624,12.24,87,75,1.54,IS,1689889190
196,anadyr,64.75,177.4833,12.28,93,75,3.0,RU,1689889075
197,borogontsy,62.6683,131.1683,12.71,99,100,2.98,RU,1689889143
